,app_id,attemptId,completionTime-0,completionTime-1,completionTime-2,inputBytes-0,inputBytes-1,inputBytes-2,numActiveTasks,numCompleteTasks,numFailedTasks,shuffleReadBytes-0,shuffleReadBytes-1,shuffleReadBytes-2,shuffleWriteBytes-0,shuffleWriteBytes-1,shuffleWriteBytes-2,stageId,status
100,app-20170603060930-0765,0,6.743,,,97731955.0,,,0,2,0,0.0,,,69479587.0,,,0,COMPLETE
101,app-20170603060930-0765,0,,,10.155,,,0.0,0,200,0,,,69483577.0,,,0.0,2,COMPLETE
102,app-20170605191057-1001,0,,,6.991,,,0.0,0,200,0,,,3706.0,,,0.0,2,COMPLETE
103,app-20170603054254-0747,0,,,8.507,,,0.0,0,200,0,,,25015261.0,,,0.0,2,COMPLETE
104,app-20170605191057-1001,0,4.5,,,3336.0,,,0,2,0,0.0,,,2988.0,,,0,COMPLETE
105,app-20170603054254-0747,0,6.454,,,97731955.0,,,0,2,0,0.0,,,74657187.0,,,0,COMPLETE
106,app-20170609055656-0169,0,,,5.826,,,0.0,0,200,0,,,2114987.0,,,0.0,2,COMPLETE
107,app-20170602014517-0003,0,,,8.961,,,0.0,0,200,0,,,567345437.0,,,0.0,2,COMPLETE
108,app-20170602014517-0003,0,,22.795,,,760190967.0,,0,6,0,,0.0,,,567345437.0,,1,COMPLETE
109,app-20170609055656-0169,0,,3.539,,,2855193.0,,0,2,0,,0.0,,,2110997.0,,1,COMPLETE
110,app-20170603032413-0635,0,4.428,,,3336.0,,,0,2,0,0.0,,,2988.0,,,0,COMPLETE
111,app-20170603032413-0635,0,,4.43,,,584.0,,0,2,0,,0.0,,,718.0,,1,COMPLETE
112,app-20170603032413-0635,0,,,7.207,,,0.0,0,200,0,,,3706.0,,,0.0,2,COMPLETE
113,app-20170602062240-0166,0,,,14.256,,,0.0,0,200,0,,,129300634.0,,,0.0,2,COMPLETE
114,app-20170602062240-0166,0,,4.697,,,2855193.0,,0,2,0,,0.0,,,2432237.0,,1,COMPLETE
115,app-20170602062240-0166,0,9.884,,,239192537.0,,,0,2,0,0.0,,,126868397.0,,,0,COMPLETE
116,app-20170606115533-0354,0,6.68,,,122145118.0,,,0,2,0,0.0,,,93287449.0,,,0,COMPLETE
117,app-20170606115533-0354,0,,17.734,,,870580522.0,,0,7,0,,0.0,,,551632652.0,,1,COMPLETE
118,app-20170606115533-0354,0,,,41.703,,,0.0,0,200,0,,,644920101.0,,,0.0,2,COMPLETE
119,app-20170609050534-0129,0,,5.069,,,48438588.0,,0,2,0,,0.0,,,35069406.0,,1,COMPLETE
120,app-20170602034250-0062,0,7.078,,,118998996.0,,,0,2,0,0.0,,,63514715.0,,,0,COMPLETE
121,app-20170602034250-0062,0,,22.529,,,760190967.0,,0,6,0,,0.0,,,587088337.0,,1,COMPLETE
122,app-20170602034250-0062,0,,,44.515,,,0.0,0,200,0,,,650603052.0,,,0.0,2,COMPLETE
123,app-20170606131035-0382,0,,,8.187,,,0.0,0,200,0,,,86853580.0,,,0.0,2,COMPLETE
124,app-20170602115507-0269,0,,,25.118,,,0.0,0,200,0,,,195181035.0,,,0.0,2,COMPLETE
125,app-20170606131035-0382,0,6.289,,,122145118.0,,,0,2,0,0.0,,,86849590.0,,,0,COMPLETE
126,app-20170606131035-0382,0,,3.694,,,3336.0,,0,2,0,,0.0,,,3990.0,,1,COMPLETE
127,app-20170603015457-0565,0,,,8.511,,,0.0,0,200,0,,,12942476.0,,,0.0,2,COMPLETE
128,app-20170603015457-0565,0,4.616,,,48846488.0,,,0,2,0,0.0,,,37477598.0,,,0,COMPLETE
129,app-20170602115507-0269,0,9.078,,,359551313.0,,,0,3,0,0.0,,,191625683.0,,,0,COMPLETE
130,app-20170602115507-0269,0,,5.493,,,4287170.0,,0,2,0,,0.0,,,3555352.0,,1,COMPLETE
131,app-20170603051504-0714,0,9.574,,,359551313.0,,,0,3,0,0.0,,,191625683.0,,,0,COMPLETE
132,app-20170603051504-0714,0,,5.449,,,4287170.0,,0,2,0,,0.0,,,3555352.0,,1,COMPLETE
133,app-20170603051504-0714,0,,,17.687,,,0.0,0,200,0,,,195181035.0,,,0.0,2,COMPLETE
134,app-20170602141524-0316,0,,57.869,,,3087316780.0,,0,23,0,,0.0,,,2286198168.0,,1,COMPLETE
135,app-20170605185019-0983,0,,22.715,,,760190967.0,,0,6,0,,0.0,,,587088337.0,,1,COMPLETE
136,app-20170609050632-0130,0,,5.185,,,48438588.0,,0,2,0,,0.0,,,35069406.0,,1,COMPLETE
137,app-20170609050632-0130,0,7.727,,,239192537.0,,,0,2,0,0.0,,,125991588.0,,,0,COMPLETE
138,app-20170609050632-0130,0,,,11.435,,,0.0,0,200,0,,,161060994.0,,,0.0,2,COMPLETE
139,app-20170609040455-0081,0,2.963,,,3336.0,,,0,2,0,0.0,,,3990.0,,,0,COMPLETE
140,app-20170609040455-0081,0,,3.114,,,1425488.0,,0,2,0,,0.0,,,1066937.0,,1,COMPLETE
141,app-20170609040455-0081,0,,,5.885,,,0.0,0,200,0,,,1070927.0,,,0.0,2,COMPLETE
142,app-20170606144930-0434,0,,,6.81,,,0.0,0,200,0,,,5258889.0,,,0.0,2,COMPLETE
143,app-20170602041503-0088,0,,,208.445,,,0.0,0,200,0,,,18473010.0,,,0.0,2,COMPLETE
144,app-20170606144930-0434,0,3.366,,,3336.0,,,0,2,0,0.0,,,3990.0,,,0,COMPLETE
145,app-20170606144930-0434,0,,3.642,,,7148589.0,,0,2,0,,0.0,,,5254899.0,,1,COMPLETE
146,app-20170602144134-0338,0,,,26.302,,,0.0,0,200,0,,,323149976.0,,,0.0,2,COMPLETE
147,app-20170602144134-0338,0,,11.421,,,96933969.0,,0,2,0,,0.0,,,70123241.0,,1,COMPLETE
148,app-20170602144134-0338,0,9.17,,,479801578.0,,,0,4,0,0.0,,,253026735.0,,,0,COMPLETE
149,app-20170601185558-0005,0,3.881,,,24362768.0,,,0,2,0,0.0,,,0.0,,,0,COMPLETE
150,app-20170606145418-0440,0,4.029,,,3336.0,,,0,2,0,0.0,,,3990.0,,,0,COMPLETE
151,app-20170606024020-1280,0,,5.115,,,5718582.0,,0,2,0,,0.0,,,4201380.0,,1,COMPLETE
152,app-20170606024020-1280,0,4.625,,,3336.0,,,0,2,0,0.0,,,3990.0,,,0,COMPLETE
153,app-20170606024020-1280,0,,,8.693,,,0.0,0,200,0,,,4205370.0,,,0.0,2,COMPLETE
154,app-20170606145418-0440,0,,,6.899,,,0.0,0,200,0,,,5258889.0,,,0.0,2,COMPLETE
155,app-20170606055203-0126,0,8.308,,,239192537.0,,,0,2,0,0.0,,,125991588.0,,,0,COMPLETE
156,app-20170602164724-0417,0,7.165,,,122145118.0,,,0,2,0,0.0,,,86849590.0,,,0,COMPLETE
157,app-20170602164152-0411,0,,4.377,,,3336.0,,0,2,0,,0.0,,,3990.0,,1,COMPLETE
158,app-20170602164152-0411,0,7.377,,,122145118.0,,,0,2,0,0.0,,,86849590.0,,,0,COMPLETE
159,app-20170602164152-0411,0,,,10.131,,,0.0,0,200,0,,,86853580.0,,,0.0,2,COMPLETE
160,app-20170602115051-0266,0,,,29.887,,,0.0,0,200,0,,,195181035.0,,,0.0,2,COMPLETE
161,app-20170602115051-0266,0,,5.52,,,4287170.0,,0,2,0,,0.0,,,3555352.0,,1,COMPLETE
162,app-20170602115051-0266,0,9.466,,,359551313.0,,,0,3,0,0.0,,,191625683.0,,,0,COMPLETE
163,app-20170602033542-0058,0,7.12,,,118998996.0,,,0,2,0,0.0,,,63514715.0,,,0,COMPLETE
164,app-20170606144005-0422,0,3.311,,,3336.0,,,0,2,0,0.0,,,2988.0,,,0,COMPLETE
165,app-20170602033542-0058,0,,22.631,,,760190967.0,,0,6,0,,0.0,,,587088337.0,,1,COMPLETE
166,app-20170606144005-0422,0,,,6.196,,,0.0,0,200,0,,,3706.0,,,0.0,2,COMPLETE
167,app-20170603022550-0594,0,,,8.932,,,0.0,0,200,0,,,34771946.0,,,0.0,2,COMPLETE
168,app-20170603022550-0594,0,,4.677,,,3336.0,,0,2,0,,0.0,,,3990.0,,1,COMPLETE
169,app-20170603022550-0594,0,5.848,,,48846488.0,,,0,2,0,0.0,,,34767956.0,,,0,COMPLETE
170,app-20170606040529-0039,0,5.844,,,118998996.0,,,0,2,0,0.0,,,62637715.0,,,0,COMPLETE
171,app-20170606040529-0039,0,,4.893,,,24191723.0,,0,2,0,,0.0,,,17575077.0,,1,COMPLETE
